event,property_username,property_$initial_referring_domain,property_$initial_referrer,property_$screen_width,property_$referring_domain,property_distinct_id,property_$city,property_$screen_height,property_path,property_$referrer,property_mp_country_code,property_$region,property_mp_lib,property_currentTime,property_$device,property_time,property_$os,property_$browser,property_subject
Back to Inbox,oleary9,$direct,$direct,1600,,146b47b861b5a-05f8e4846-4e48022f-13c680-146b47b861d15c,Bethesda,900,/survey,,US,Maryland,web,1404256575,,1404231376,Windows,Chrome,
Message View,oleary9,$direct,$direct,1600,,146b47b861b5a-05f8e4846-4e48022f-13c680-146b47b861d15c,Bethesda,900,/messages/uw24o4st8MRRjP5S3,,US,Maryland,web,1404256624,,1404231425,Windows,Chrome,Meeting
Page Views,oleary9,$direct,$direct,1600,,146b47b861b5a-05f8e4846-4e48022f-13c680-146b47b861d15c,Bethesda,900,/survey,,US,Maryland,web,,,1404231427,Windows,Chrome,
Page Views,anonymous,$direct,$direct,1366,,146f8acd8aa68-04c2352ab-511a6049-100200-146f8acd8ab4e2,Washington,768,/,,US,District of Columbia,web,,,1404306216,,Chrome,
Practice View,12345,$direct,$direct,1366,,146f8acd8aa68-04c2352ab-511a6049-100200-146f8acd8ab4e2,Washington,768,/practice/XeqXvZkXBweXrJi8K,,US,District of Columbia,web,,,1404306231,,Chrome,RE: Meeting next week regarding sales conference
Practice View,12345,$direct,$direct,1366,,146f8acd8aa68-04c2352ab-511a6049-100200-146f8acd8ab4e2,Washington,768,/practice/RTKnnWdxX82yKFbsd,,US,District of Columbia,web,,,1404306266,,Chrome,RE: Meeting next week regarding sales conference
Practice View,12345,$direct,$direct,1366,,146f8acd8aa68-04c2352ab-511a6049-100200-146f8acd8ab4e2,Washington,768,/practice/z7cPZZiAG2yKyQ4JR,,US,District of Columbia,web,,,1404306269,,Chrome,RE: Meeting next week regarding sales conference
Play Audio,12345,$direct,$direct,1366,,146f8acd8aa68-04c2352ab-511a6049-100200-146f8acd8ab4e2,Washington,768,/survey,,US,District of Columbia,web,,,1404306318,,Chrome,
Message View,12345,$direct,$direct,1366,,146f8acd8aa68-04c2352ab-511a6049-100200-146f8acd8ab4e2,Washington,768,/messages/niEekKstfhRS8PADi,,US,District of Columbia,web,1404331671,,1404306471,,Chrome,Availability for Meeting About Strategic Plan
Back to Inbox,12345,$direct,$direct,1366,,146f8acd8aa68-04c2352ab-511a6049-100200-146f8acd8ab4e2,Washington,768,/survey,,US,District of Columbia,web,1404331708,,1404306508,,Chrome,
